is_student,is_unemployed,median_amt_wire,wire_ratio,income,max_transaction_frequency_7d,max_transaction_frequency_90d,days_since_last_transaction,share_amt_eft,sum_amt_total,abm_cash_deposit_volume,transaction_ecommerce_ratio,cv_amt_eft,cash_ratio,transaction_round_amount_frequency_7d,channel_debit_volume,channel_credit_volume,incoming_volume_90d,cross_border_ratio,cv_amt_abm,n_txn_abm,median_hold_time_funds,n_txn_total,abm_cash_withdrawal_volume,sum_amt_eft,max_channel_share,txn_volume_vs_occupation_median,age,label
0,0,0.0,0.0,19998.0,2,3,0,0.821760262,10991.32,786.74,0.227525909,1.166412298,0.081895439,0.0,3688.32,5918.32,5918.32,0.0,0.081070025,2,43.82222222,40,0.0,9032.23,0.821760262,0.330522622,91.0,0.0
0,0,0.0,0.0,42336.0,1,5,1,0.96139634,9558.42,0.0,0.0,1.549046909,0.0,0.0,2552.48,5982.04,5982.04,0.0,0.0,0,97.37833333,22,0.0,9189.43,0.96139634,0.19644424,80.0,0.0
0,0,0.0,0.0,35032.0,0,1,71,0.0,105.43,0.0,0.0,0.0,0.0,0.0,0.0,105.43,105.43,0.0,0.0,0,0.0,1,0.0,0.0,1.0,0.003627387,72.0,0.0
0,1,0.0,0.0,18833.0,0,1,76,0.0,1906.9,0.0,0.0,0.0,0.0,0.0,0.0,1906.9,1906.9,0.0,0.0,0,0.0,1,0.0,0.0,1.0,0.16216515,41.0,0.0
0,0,0.0,0.0,85408.0,1,2,1,0.776902149,8678.21,0.0,0.0,1.158312956,0.0,0.0,2847.75,5804.56,5804.56,0.0,0.0,0,202.6915278,15,0.0,6742.12,0.776902149,0.297688285,67.0,0.0
0,0,0.0,0.0,97040.0,3,3,0,0.147569011,33539.02,0.0,0.04014172,0.985107701,0.02049263,0.0,12054.46,21408.79,21408.79,0.0,0.63520825,6,32.84027778,65,685.75,4949.32,0.597007903,0.64748365,42.0,0.0
0,0,0.0,0.0,172642.0,1,4,0,0.599026643,31967.71,0.0,0.0,1.686246873,0.0,0.0,10870.36,19043.26,19043.26,0.0,0.0,0,25.97333333,51,0.0,19149.51,0.599026643,0.565768973,54.0,0.0
0,0,0.0,0.0,,4,6,0,0.186744241,61702.84,0.0,0.131733266,1.534784727,0.0,0.0,17545.79,42219.96,42219.96,0.032608696,0.0,1,6.891944444,206,0.0,11522.65,0.437531238,1.524169897,,0.0
0,0,0.0,0.0,116457.0,7,7,0,0.143403949,18290.64,0.0,0.146009601,0.865893467,0.0,0.052631579,14769.31,3367.03,3367.03,0.016216216,0.0,0,16.97138889,230,0.0,2622.95,0.755295605,0.322676227,41.0,0.0
0,0,0.0,0.0,58208.0,1,2,1,0.734015629,11825.77,0.0,0.0,1.088650783,0.039263811,0.0,4558.3,7041.44,7041.44,0.0,1.136392236,4,46.09666667,27,455.45,8680.3,0.734015629,0.399096508,74.0,0.0
0,0,0.0,0.0,125230.0,3,3,3,0.116153279,26261.85,1062.05,0.0,1.447515572,0.043893129,0.0,4555.82,19640.45,19640.45,0.0,0.0,1,96.0,38,0.0,3050.4,0.483741244,0.584161707,52.0,0.0
0,0,0.0,0.0,45397.0,1,2,6,0.833678828,8374.46,537.55,0.035531664,1.131171332,0.14048667,0.0,1475.82,6898.64,6898.64,0.0,0.56971245,5,26.98055556,19,638.95,6981.61,0.833678828,0.158389711,47.0,0.0
0,0,0.0,0.0,,1,2,0,0.398272135,7054.95,0.0,0.0,1.14745563,0.0,0.0,4158.24,2644.36,2644.36,0.0,0.0,0,123.4280556,27,0.0,2809.79,0.527041297,0.234047824,68.0,0.0
0,0,0.0,0.0,175730.0,3,8,0,0.41252413,46985.3,0.0,0.198666841,1.430815722,0.0,0.090909091,20726.77,25333.43,25333.43,0.016129032,0.0,0,13.27847222,164,0.0,19382.57,0.519505675,0.871156083,42.0,0.0
0,0,0.0,0.0,101030.0,4,7,0,0.48798723,23349.32,0.0,0.118829718,1.626122404,0.0,0.0,12653.71,10602.56,10602.56,0.01744186,0.0,0,7.355277778,213,0.0,11394.17,0.51201277,0.439855691,63.0,0.0
0,0,0.0,0.0,11.0,0,2,14,0.972540113,6428.65,0.0,0.0,1.259860126,0.0,0.0,2513.99,3914.66,3914.66,0.0,0.0,0,121.3780556,19,0.0,6252.12,0.972540113,0.221181834,81.0,0.0
0,0,0.0,0.0,118236.0,1,4,3,0.470011806,6539.24,100.0,0.136124223,0.624567984,0.045914666,0.0,3870.95,2662.91,2662.91,0.020833333,0.471404521,2,61.31055556,66,200.0,3073.52,0.470011806,0.150393831,42.0,0.0
0,0,0.0,0.0,105069.0,2,4,1,0.653136409,19375.34,322.08,0.110948478,1.653837666,0.023506785,0.0,7717.42,11546.38,11546.38,0.0,1.025425658,3,40.17777778,94,130.75,12654.74,0.653136409,0.50094396,55.0,0.0
0,0,0.0,0.0,109281.0,0,1,7,0.0,7973.51,4863.65,0.0,0.0,0.863535632,0.0,2429.58,5543.93,5543.93,0.0,1.631349118,13,33.55388889,20,2021.76,0.0,0.863535632,0.183531131,53.0,0.0
0,0,0.0,0.0,,2,2,1,1.0,6894.71,0.0,0.0,1.301644042,0.0,0.0,1697.11,5015.37,5015.37,0.0,0.0,0,644.5166667,13,0.0,6894.71,1.0,0.230947187,83.0,0.0
0,1,0.0,0.0,20674.0,0,1,15,1.0,2503.72,0.0,0.0,1.000558413,0.0,0.0,1405.2,1098.52,1098.52,0.0,0.0,0,280.39375,8,0.0,2503.72,1.0,0.212919466,45.0,0.0
0,1,0.0,0.0,,0,1,11,0.0,1221.86,0.0,0.0,0.0,0.0,0.0,1010.86,200.26,200.26,0.0,0.0,0,347.2536111,6,0.0,0.0,1.0,0.102995153,29.0,0.0
0,0,0.0,0.0,48339.0,1,1,0,0.0,158.35,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0.0,1.0,0.000265245,,0.0
0,0,0.0,0.0,23278.0,0,1,12,0.0,411.43,0.0,0.0,0.0,0.785309773,0.0,411.43,0.0,0.0,0.0,0.0,1,0.0,3,323.1,0.0,0.785309773,0.0078852,47.0,0.0
0,0,0.0,0.0,,0,2,27,0.0,4874.6,0.0,0.0,0.0,0.0,0.0,1225.42,3649.18,3649.18,0.0,0.0,0,600.0,9,0.0,0.0,1.0,0.112201634,63.0,0.0
0,0,0.0,0.0,76600.0,0,1,8,0.986165851,15210.91,0.0,0.0,0.648979683,0.0,0.0,1620.53,12319.93,12319.93,0.0,0.0,0,333.1065278,15,0.0,15000.48,0.986165851,0.479630483,86.0,0.0
0,0,0.0,0.0,,1,2,3,0.444709378,15408.49,0.0,0.0,0.948542024,0.0,0.0,7719.21,7306.12,7306.12,0.0,0.0,0,99.74666667,22,0.0,6852.3,0.444709378,0.345847163,63.0,0.0
0,0,0.0,0.0,71911.0,4,8,0,0.642883708,58534.49,890.0,0.295764892,1.111085867,0.027578168,0.0,23543.75,31463.53,31463.53,0.010526316,1.076146484,4,11.67777778,187,627.0,37630.87,0.642883708,1.178794788,56.0,0.0
0,0,0.0,0.0,,0,2,7,0.688024567,14334.43,0.0,0.0,1.456314002,0.0,0.0,3994.27,10340.16,10340.16,0.0,0.0,0,84.0,18,0.0,9862.44,0.688024567,0.329944297,49.0,0.0
0,0,0.0,0.0,,1,2,0,0.762869516,23416.77,0.0,0.418156858,0.958960204,0.011316676,0.25,5607.19,17809.58,17809.58,0.090909091,0.720448419,2,152.5638889,44,265.0,17863.94,0.762869516,0.424393679,29.0,0.0
