customer_id,label,prediction,explanation
SYNID0200006570,0.0,1,"Short hold time. Top features: high n_txn_total, high sum_amt_total, high median_hold_time_funds, satisfied is_industry_code_7215"
SYNID0200018308,0.0,0,"Top features: not satisfied is_industry_code_4561, not satisfied is_industry_code_7215"
SYNID0200018603,0.0,0,"Top features: not satisfied is_industry_code_4561, not satisfied is_industry_code_7215"
SYNID0200027516,0.0,0,"Top features: not satisfied is_industry_code_4561, not satisfied is_industry_code_7215"
SYNID0200093716,0.0,0,Top features: low n_txn_total
SYNID0200099912,0.0,0,"Top features: not satisfied is_industry_code_4561, not satisfied is_industry_code_7215"
SYNID0200143186,0.0,0,"Top features: low n_txn_total, low days_since_last_transaction, not satisfied is_industry_code_7215"
SYNID0200143570,0.0,0,"Short hold time. Top features: low n_txn_total, low days_since_last_transaction, low sum_amt_emt"
SYNID0200163281,0.0,0,Top features: not satisfied is_industry_code_7215
SYNID0200176428,0.0,0,"Top features: low n_txn_total, low days_since_last_transaction, not satisfied is_industry_code_7215"
SYNID0200184466,0.0,0,"Top features: low n_txn_total, low sum_amt_emt"
SYNID0200187014,1.0,1,"Short hold time, Many transactions of the same amount. Top features: high sum_amt_card, satisfied is_industry_code_7761"
SYNID0200195508,0.0,0,"Top features: not satisfied is_industry_code_4561, not satisfied is_industry_code_7215"
SYNID0200213351,0.0,0,"Top features: low n_txn_total, low days_since_last_transaction"
SYNID0200219097,0.0,0,"Top features: low n_txn_total, low days_since_last_transaction, not satisfied is_industry_code_7215"
SYNID0200232685,0.0,0,High variability in EMT transfers. 
SYNID0200255716,0.0,0,"Top features: low days_since_last_transaction, not satisfied is_industry_code_7215"
SYNID0200265288,0.0,0,"Top features: low n_txn_total, low days_since_last_transaction"
SYNID0200268286,0.0,0,"Top features: not satisfied is_industry_code_4561, not satisfied is_industry_code_7215"
SYNID0200297130,0.0,0,"Top features: low n_txn_total, low days_since_last_transaction, not satisfied is_industry_code_7215"
SYNID0200302254,0.0,0,Top features: not satisfied is_industry_code_7215
