customer_id,label,prediction,explanation
SYNID0100000485,0.0,0,"Top features: low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100021236,0.0,0,"Top features: low sum_amt_total, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100036671,0.0,0,"Top features: low sum_amt_total, low channel_credit_volume, low n_txn_total, low txn_volume_vs_occupation_median"
SYNID0100059315,0.0,0,"Top features: low sum_amt_total, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100060562,0.0,0,"Top features: low sum_amt_total, low channel_debit_volume, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100075150,0.0,0,Top features: low income
SYNID0100088505,0.0,0,Top features: low income
SYNID0100090388,0.0,0,"Top features: low income, low n_txn_total"
SYNID0100093807,0.0,0,"Top features: low income, low n_txn_total, low txn_volume_vs_occupation_median"
SYNID0100096061,0.0,0,"Top features: low income, low channel_debit_volume, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100102872,0.0,0,Top features: low income
SYNID0100117701,0.0,0,"Top features: low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100125047,0.0,0,"Top features: low sum_amt_total, low channel_debit_volume, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100132893,0.0,0,"Top features: low income, low n_txn_total"
SYNID0100136442,0.0,0,"Top features: low income, low n_txn_total, low txn_volume_vs_occupation_median"
SYNID0100163113,0.0,0,"Top features: low sum_amt_total, low channel_debit_volume, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100165492,0.0,0,"Top features: low channel_debit_volume, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100188433,0.0,0,"Top features: low income, low txn_volume_vs_occupation_median"
SYNID0100194520,0.0,0,"Top features: low income, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100197952,0.0,0,"Top features: low sum_amt_total, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100233347,0.0,0,"Top features: low sum_amt_total, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100238045,0.0,0,"Top features: low sum_amt_total, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100244693,0.0,0,"Top features: low sum_amt_total, low n_txn_total"
SYNID0100247065,0.0,0,"Top features: low sum_amt_total, low n_txn_total, low txn_volume_vs_occupation_median"
SYNID0100255939,0.0,0,"Top features: low sum_amt_total, low channel_credit_volume, low txn_volume_vs_occupation_median"
SYNID0100257772,0.0,0,"Top features: low cv_amt_eft, low txn_volume_vs_occupation_median"
